Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Alexander Place Townhomes, Raleigh, NC",2.2,37.9,38.0,39.2,56.5,10.0,12.6,7.9,77721.0,1159.0,0.0,0.0,0.2,0.0,0.0,0.0
"Alpha, Raleigh, NC",2.4,24.0,33.5,7.9,34.3,41.0,17.5,33.8,45978.0,677.0,87.7,0.0,0.3333333333333333,0.0,0.0,0.0
"Amberfield, Raleigh, NC",2.3,40.8,36.0,25.0,34.1,24.9,22.6,19.1,53929.0,895.0,86.6,0.0,0.0,0.0,0.0,0.0
"Ammondale, Raleigh, NC",2.5,32.6,30.9,23.9,40.0,17.8,17.6,11.2,34719.0,693.0,84.7,0.0,0.0,0.0,0.0,0.0
"Anderson Forest, Raleigh, NC",2.3,41.3,42.4,35.0,63.0,12.8,14.3,5.9,76395.0,1454.0,57.3,0.0,0.0,0.5,0.0,0.0
"Anderson Heights, Raleigh, NC",2.8,39.2,45.1,32.5,77.0,8.5,6.8,1.8,161702.0,1125.0,72.3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
"Arbor Chase, Raleigh, NC",2.3,37.8,36.2,26.0,51.8,19.9,9.2,19.1,54200.0,795.0,81.9,0.0,0.25,0.0,0.0,0.0
"Arbor at Harrington Grove, Raleigh, NC",2.2,37.9,38.0,40.9,56.5,10.0,12.6,8.3,77721.0,1159.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
"Ashley Park, Raleigh, NC",2.6,46.2,39.1,35.2,61.5,9.6,14.3,3.5,70461.0,1186.0,74.2,0.0,0.0,0.0,0.05,0.0
"Ashley Ridge, Raleigh, NC",2.6,44.8,48.3,38.3,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.25,0.0,0.0,0.0,0.0
"Athens, Raleigh, NC",3.9,45.1,40.5,23.0,52.3,14.1,23.6,8.7,101903.0,1092.0,75.5,0.0,0.0,0.0,0.0,0.2
"Auburn Hills, Raleigh, NC",2.7,42.0,44.5,11.5,45.8,15.2,14.5,15.7,53409.0,631.0,60.1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
"Avallon, Raleigh, NC",2.3,39.0,41.1,35.4,54.1,14.4,15.5,3.1,123293.0,1207.0,66.9,0.25,0.0,0.0,0.0,0.0
"Avington Place, Raleigh, NC",2.3,37.8,36.2,25.4,51.8,19.9,9.2,18.7,54200.0,795.0,81.9,0.5,0.0,0.0,0.0,0.0
"Bagwell, Raleigh, NC",2.3,27.9,43.8,30.4,31.1,29.9,15.3,12.5,52887.0,1195.0,65.2,0.0,0.0,0.0,0.10714285714285714,0.0
"Baileycroft, Raleigh, NC",2.2,40.9,40.8,26.8,29.9,22.9,16.6,5.5,55078.0,861.0,78.1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
"Banbury Woods Place, Raleigh, NC",1.9,48.3,33.3,42.1,38.3,11.1,28.4,11.2,91731.0,869.0,60.7,0.0,0.0,0.0,0.0,0.0
"Battery Heights, Raleigh, NC",2.4,44.0,34.3,8.5,18.8,19.0,25.2,30.5,35630.0,613.0,70.4,0.16666666666666666,0.0,0.0,0.0,0.0
"Bedford Heights, Raleigh, NC",2.3,21.8,45.4,22.8,27.8,37.9,12.3,20.6,28214.0,1309.0,64.5,0.16666666666666666,0.0,0.0,0.0,0.0
"Bellevue Terrace, Raleigh, NC",2.4,49.3,51.7,36.7,65.0,12.6,13.3,5.4,99444.0,1486.0,56.7,0.0,0.0,0.0,0.0,0.0
"Bembridge, Raleigh, NC",2.6,35.9,36.5,33.7,58.2,15.8,9.2,5.1,95333.0,1383.0,85.0,1.0,0.0,0.0,0.0,0.0
"Bennett Place, Raleigh, NC",2.6,44.8,48.3,37.6,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.0,0.0,0.0,0.15384615384615385,0.0
"Bennett Woods, Raleigh, NC",2.1,31.8,34.6,21.6,27.1,22.6,16.0,25.8,44079.0,671.0,79.0,0.3333333333333333,0.0,0.0,0.0,0.0
"Blenheim Place, Raleigh, NC",1.8,55.6,49.1,48.5,40.9,18.4,18.5,7.4,77708.0,789.0,65.4,0.0,0.5,0.0,0.0,0.0
"Blue Moon Ridge, Raleigh, NC",1.9,48.3,33.3,42.1,38.3,11.1,28.4,11.2,91731.0,869.0,60.7,0.0,0.0,0.0,0.0,0.0
"Bolton, Raleigh, NC",2.6,44.3,37.0,38.1,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.0,0.0
"Boylan Heights, Raleigh, NC",1.9,39.2,35.8,39.6,27.5,20.8,19.5,2.4,48068.0,727.0,81.5,0.0,0.0,0.25,0.0,0.0
"Breeland Park, Raleigh, NC",2.6,42.3,44.4,32.9,68.1,7.6,6.4,5.2,110083.0,1031.0,78.6,0.0,0.0,0.0,0.0,0.0
"Breezy Heights, Raleigh, NC",2.1,31.8,34.6,21.2,27.1,22.6,16.0,25.4,44079.0,671.0,79.0,0.0,0.0,0.0,0.0,0.0
"Brentwood, Raleigh, NC",2.4,47.7,33.2,13.9,38.1,13.4,29.4,20.3,59583.0,889.0,74.3,0.0,0.0,0.0,0.0,0.0
"Briarcliff, Raleigh, NC",2.7,43.1,37.8,32.4,68.8,9.7,11.5,4.2,113750.0,982.0,69.2,0.0,0.25,0.0,0.0,0.0
"Briarwood North, Raleigh, NC",2.3,43.6,39.7,35.1,58.9,12.5,12.2,6.9,93413.0,917.0,71.6,0.0,0.0,0.25,0.0,0.0
"Bridgewater, Raleigh, NC",2.6,42.3,44.4,33.3,68.1,7.6,6.4,5.3,110083.0,1031.0,78.6,0.0,0.0,0.0,0.0,0.0
"Brook Forest Townhomes, Raleigh, NC",2.5,40.9,44.1,27.3,55.5,15.3,19.2,3.3,68036.0,698.0,56.1,0.0,0.0,0.0,0.0,0.0
