,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Sharkys Place Sports Bar and Billiards,35.857117627829545,-78.7117185433507,Sports Bar
1,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Jersey Mike's Subs,35.85853524,-78.71181222,Sandwich Place
2,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Circle K,35.8562087,-78.7116221,Convenience Store
3,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Redbox,35.856675,-78.712366,Video Store
4,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,AMF Pleasant Valley Lanes,35.85737404,-78.70916712,Bowling Alley
5,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Pizza Hut,35.858533087267126,-78.70747894048691,Pizza Place
6,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Pizza Hut,35.857638,-78.711819,Pizza Place
7,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Steak 'n Shake,35.858107013738625,-78.71242091059685,American Restaurant
8,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Duraleigh Woods Tennis Court,35.855865478515625,-78.71366882324219,Tennis Court
9,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,DW Gym,35.8551327,-78.714241,Gym / Fitness Center
10,"Hamstead Crossing, Raleigh, NC",35.8544627,-78.7097904631341,Pedaler Wine & Beer,35.8585483,-78.71174759999997,Bar
11,"Bryarton, Raleigh, NC",35.7502486,-78.7314740168034,Manna,35.751448515333756,-78.73336993811715,Food Truck
12,"Bryarton, Raleigh, NC",35.7502486,-78.7314740168034,Pool @ Bryarton Village,35.747138,-78.732371,Gym Pool
13,"Bryarton, Raleigh, NC",35.7502486,-78.7314740168034,Kocina,35.753873627696805,-78.73279975097152,Food Truck
14,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,North Carolina Museum of Natural Sciences,35.782216952143855,-78.63937474693553,Science Museum
15,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,North Carolina Museum of History,35.78151639441983,-78.63874714932197,History Museum
16,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Gallo Pelón,35.77931957146792,-78.63851692796818,Cocktail Bar
17,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Centro,35.77923559426749,-78.63826359808532,Mexican Restaurant
18,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Gravy,35.778481842755454,-78.63814279051725,Italian Restaurant
19,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,City Club Raleigh,35.778660849380216,-78.63969415426254,Event Space
20,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Sitti,35.77823720800241,-78.63826636528833,Mediterranean Restaurant
21,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Raleigh Raw,35.77830785990888,-78.63960986451752,Juice Bar
22,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Morning Times,35.778248227541326,-78.63879600722534,Coffee Shop
23,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Nature Research Center,35.78248616431799,-78.64074514933678,Science Museum
24,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Raleigh Times Bar,35.77824597779231,-78.63854202832822,Gastropub
25,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Deco,35.77827057414117,-78.64013088640586,Gift Shop
26,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Death & Taxes,35.77824489697241,-78.64037505900414,American Restaurant
27,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Foundation,35.777751232806416,-78.63916995885789,Cocktail Bar
28,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Father & Son Antiques,35.77827619344786,-78.64073866606371,Antique Shop
29,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Marbles Kids Museum,35.77862367049698,-78.63603345124893,Museum
30,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Green Light Bar,35.7781639289765,-78.63790556696199,Lounge
31,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Linus & Pepper's,35.77847886474255,-78.64029521011638,Sandwich Place
32,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Wells Fargo IMAX Theatre at Marbles,35.779001007837124,-78.63558670444802,Movie Theater
33,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,lucettegrace,35.777265701471045,-78.64018852503459,Bakery
34,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Trophy Tap & Table,35.77741730595741,-78.63818405525227,American Restaurant
35,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,St. Roch Fine Oysters + Bar,35.77749384669648,-78.63815310834273,Seafood Restaurant
36,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Paddy O'Beers,35.779169066802396,-78.63919264660531,Beer Garden
37,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Beasley's Chicken + Honey,35.77696765158057,-78.63817533537843,Southern / Soul Food Restaurant
38,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Watts & Ward,35.77799891485004,-78.63679065366621,Speakeasy
39,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Brewery Bhavana,35.777424987669576,-78.636864724695,Brewery
40,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Bida Manda Laotian Restaurant and Bar,35.77722725876699,-78.63681194044996,Asian Restaurant
41,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Garland,35.77694680364745,-78.63988684178685,Asian Restaurant
42,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Pizza La Stella,35.7776923,-78.6389706,Pizza Place
43,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Benny Capitale's,35.77886951051022,-78.63910884814624,Pizza Place
44,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Capital Club 16,35.777000802294666,-78.64018863351006,Gastropub
45,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Bittersweet,35.77688144129554,-78.63872386687156,Cocktail Bar
46,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Kings,35.776929348869245,-78.6397994738686,Music Venue
47,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Moon and Lola,35.778026259551375,-78.6382914073022,Jewelry Store
48,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Landmark Tavern,35.77830043775077,-78.63756842213456,Bar
49,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Daily Planet Cafe,35.782503399049524,-78.64129354685734,Café
50,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Fox Liquor Bar,35.77699045079059,-78.63825424797324,Cocktail Bar
51,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Nash Square,35.77773046236442,-78.64270236138145,Park
52,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Oakwood Cafe,35.78086124559477,-78.63455963509446,Cuban Restaurant
53,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Coglin's,35.777360143400315,-78.63929844249651,Bar
54,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Chuck's,35.777009398838224,-78.63826651762005,Burger Joint
55,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Caffé Luna,35.7780860912793,-78.63674948244915,Italian Restaurant
56,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Virgil's Original Taqueria,35.7785506473972,-78.6402499217611,Taco Place
57,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Pour House Music Hall,35.777169134300486,-78.63681234972837,Music Venue
58,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Taverna Agora,35.78077587249608,-78.64440577026116,Greek Restaurant
59,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Tonbo Ramen,35.77788024442303,-78.63818648941339,Ramen Restaurant
60,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Clyde Cooper's Barbecue,35.77625449179692,-78.63831427516594,BBQ Joint
61,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Architect Bar & Social House,35.778108610242164,-78.63791356282759,Bar
62,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The District,35.77978808827519,-78.64357200998026,American Restaurant
63,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,The Mecca Restaurant,35.77691719781591,-78.6385856617528,Diner
64,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Whiskey Kitchen,35.77686125478077,-78.64211082458496,Southern / Soul Food Restaurant
65,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,42 & Lawrence,35.77673020851489,-78.6368160840393,Coffee Shop
66,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,treat,35.776637133502966,-78.6367072413282,Ice Cream Shop
67,"Brook Forest, Raleigh, NC",35.7803977,-78.6390989,Gringo A Go Go,35.78128715,-78.6344786,Mexican Restaurant
